ElementPortion;Density
Cham;0,44
Clun;0,35
COX;0,414
Csca;0,42
FEMd;0,26
FEMp;0,29
FEMsh;0,383
HUMd;0,38
HUMp;0,245
HUMsh;0,465
HYO;0,36
MANbod;0,616
MCd;0,495
MCp;0,59
MCsh;0,64
MTd;0,44
MTp;0,52
MTsh;0,59
PHA1d;0,48
PHA1p;0,48
PHA1sh;0,46
PHA2d;0,46
PHA2p;0,41
PHA3;0,32
RADd;0,35
RADp;0,48
RADsh;0,533
RIB;0,414
SCP;0,372
Tcal;0,603
Tcbn;0,63
Tgcun;0,43
TIBd;0,41
TIBp;0,41
TIBsh;0,527
Ttal;0,647
ULNp;0,515
Vatl;0,59
Vaxi;0,667
Vcer;0,495
Vlum;0,27
Vsac;0,265
Vtho;0,4
