ElementPortion;Density
Ccap;0,62
Cham;0,67
Clun;0,57
COX;0,574
CRApetrous;1,25
Csca;0,62
FEMd;0,3
FEMp;0,297
FEMsh;0,863
FIB;0,59
HUMd;0,36
HUMp;0,28
HUMsh;1,075
HYO;0,31
MANbod;0,924
MCd;0,58
MCp;0,55
MCsh;0,947
MPV;0,81
MTd;0,59
MTp;0,59
MTsh;0,96
PAT;0,4
PHA1d;0,67
PHA1p;0,57
PHA1sh;1,02
PHA2d;0,59
PHA2p;0,62
PHA3;0,57
RADd;0,42
RADp;0,37
RADsh;1,04
RIB;0,626
SCP;0,772
Tcal;0,603
Tcub;0,5
Tgcun;0,6
TIBd;0,45
TIBp;0,3
TIBsh;0,963
Tnav;0,71
Ttal;0,655
ULNp;0,565
Vatl;0,507
Vaxi;0,433
Vcau;0,3
Vcer;0,455
Vlum;0,443
Vsac;0,365
Vtho;0,405
