ElementPortion;Density
Ccap;0,69
Cham;0,72
Clun;0,67
COX;0,636
CRApetrous;1,29
Csca;0,7
FEMd;0,32
FEMp;0,403
FEMsh;0,833
FIB;0,68
HUMd;0,48
HUMp;0,35
HUMsh;1,1
MANbod;0,965
MCd;0,58
MCp;0,92
MCsh;1,063
MTd;0,5
MTp;0,9
MTsh;1,087
PAT;0,57
PHA1d;0,71
PHA1p;0,48
PHA1sh;0,92
PHA2d;0,72
PHA2p;0,61
PHA3;0,48
RADd;0,49
RADp;0,53
RADsh;1,047
RIB;0,652
SCP;0,854
Tcal;0,713
Tcbn;0,577
Tgcun;0,71
TIBd;0,73
TIBp;0,35
TIBsh;1,087
Tscun;0,77
Ttal;0,67
ULNp;0,665
Vatl;0,46
Vaxi;0,487
Vcau;0,43
Vcer;0,44
Vlum;0,483
Vsac;0,385
Vtho;0,455
