NDE;Element;Portion;ElementPortion;Quantity
Ldmk_01;HUM;p;HUMp;2
Ldmk_02;HUM;sh;HUMsh;2
Ldmk_03;HUM;sh;HUMsh;2
Ldmk_04;HUM;d;HUMd;2
Ldmk_05;RAD;p;RADp;2
Ldmk_06;RAD;sh;RADsh;2
Ldmk_07;RAD;d;RADd;2
Ldmk_08;RAD;d;RADd;2
Ldmk_09;ULN;p;ULNp;2
Ldmk_10;ULN;p;ULNp;2
Ldmk_11;ULN;p;ULNp;2
Ldmk_12;ULN;d;ULNd;2
Ldmk_13;MC;p;MCp;4
Ldmk_14;MC;p;MCp;NA
Ldmk_15;MC;psh;MCpsh;NA
Ldmk_16;MC;p;MCp;4
Ldmk_18;FEM;p;FEMp;2
Ldmk_19;FEM;sh;FEMsh;2
Ldmk_20;FEM;sh;FEMsh;2
Ldmk_21;FEM;d;FEMd;2
Ldmk_22;TIB;p;TIBp;2
Ldmk_23;TIB;sh;TIBsh;2
Ldmk_24;TIB;sh;TIBsh;2
Ldmk_25;TIB;d;TIBd;2
Ldmk_26;MT;p;MTp;4
Ldmk_27;NA;NA;NA;NA
Ldmk_28;NA;NA;NA;NA
Ldmk_29;MT;d;MTd;4
Ldmk_31;MP;d;MPd;8
Ldmk_31a;NA;NA;NA;NA
Ldmk_31b;NA;NA;NA;NA
Ldmk_32;NA;NA;NA;NA
Ldmk_33;CRA;tth;CRAtth;1
Ldmk_34;CRA;petrous;CRApetrous;1
Ldmk_35;MAN;tth;MANtth;2
Ldmk_36;MAN;bod;MANbod;2
Ldmk_37;MAN;bod;MANbod;2
Ldmk_38;HYO;;HYO;2
Ldmk_38tymp;NA;NA;NA;NA
Ldmk_39;HYO;;HYO;2
Ldmk_40;HYO;;HYO;1
Ldmk_40basi;NA;NA;NA;NA
Ldmk_40cera;NA;NA;NA;NA
Ldmk_40thyr;NA;NA;NA;NA
Ldmk_41;Vatl;;Vatl;1
Ldmk_42;Vatl;;Vatl;1
Ldmk_43;Vaxi;;Vaxi;1
Ldmk_44;Vaxi;;Vaxi;1
Ldmk_45;Vcer;;Vcer;7
Ldmk_46;Vcer;;Vcer;7
Ldmk_47;Vtho;;Vtho;14
Ldmk_48;Vtho;;Vtho;14
Ldmk_49;Vlum;;Vlum;6
Ldmk_50;Vlum;;Vlum;6
Ldmk_51;Vsac;;Vsac;1
Ldmk_52;Vsac;;Vsac;1
Ldmk_53;Vcau;;Vcau;7
Ldmk_54;RIB;;RIB;26
Ldmk_55;RIB;;RIB;26
Ldmk_56;STER;;STER;6
Ldmk_57;SCP;;SCP;2
Ldmk_58;SCP;;SCP;2
Ldmk_59;SCP;;SCP;2
Ldmk_60;Csca;;Csca;2
Ldmk_61;Clun;;Clun;2
Ldmk_62;Ctri;;Ctri;2
Ldmk_63;Cpis;;Cpis;2
Ldmk_63cen;NA;NA;NA;NA
Ldmk_63pis;NA;NA;NA;NA
Ldmk_63rad;NA;NA;NA;NA
Ldmk_64;Ccap;;Ccap;2
Ldmk_64cap;NA;NA;NA;NA
Ldmk_64tra;NA;NA;NA;NA
Ldmk_64trapd;NA;NA;NA;NA
Ldmk_65;Cham;;Cham;2
Ldmk_66;COX;;COX;2
Ldmk_67;COX;;COX;2
Ldmk_68;COX;;COX;2
Ldmk_69;PAT;;PAT;2
Ldmk_70;PAT;;PAT;2
Ldmk_71;FIB;;FIB;2
Ldmk_71de;NA;NA;NA;2
Ldmk_71ds;NA;NA;NA;2
Ldmk_71pe;NA;NA;NA;2
Ldmk_71ps;NA;NA;NA;2
Ldmk_72;Ttal;;Ttal;2
Ldmk_73;Ttal;;Ttal;2
Ldmk_74;Tcal;;Tcal;2
Ldmk_75;Tcal;;Tcal;2
Ldmk_76;Tcal;;Tcal;2
Ldmk_77;Tcbn;;Tcbn;2
Ldmk_77acc;NA;NA;NA;NA
Ldmk_77cub;Tcub;NA;NA;NA
Ldmk_77nav;Tnav;NA;NA;NA
Ldmk_78;Tscun;;Tscun;2
Ldmk_78first;NA;NA;NA;NA
Ldmk_78int;NA;NA;NA;NA
Ldmk_78med;NA;NA;NA;NA
Ldmk_78sec;NA;NA;NA;NA
Ldmk_79;Tgcun;;Tgcun;2
Ldmk_80;PHA1;p;PHA1p;8
Ldmk_81;PHA2;p;PHA2p;8
Ldmk_82;PHA3;p;PHA3p;8
Ldmk_83;PHAV1;;PHAV1;8
Ldmk_84;PHAV2;;PHAV2;8
Ldmk_85;PHAV3;;PHAV3;8
Ldmk_86;MPV;;MPV;8
Ldmk_87;SES;;SES;40
Ldmk_92ph1;PHA1;d;PHA1d;NA
Ldmk_93ph2;PHA2;d;PHA2d;NA
Ldmk_94ph3;PHA3;d;PHA3d;NA
Ldmk_17;MC;sh;MCsh;NA
Ldmk_30;MT;sh;MTsh;NA
Ldmk_88mesRib;RIB;;RIB;NA
Ldmk_89mesRad;RAD;sh;RADsh;NA
Ldmk_90mesMan;MAN;bod;MANbod;NA
Ldmk_91mesFem;FEM;sh;FEMsh;NA
